ps,lch,wup,lin,dp,infer,over,score
0.5762362637362637,0.47886736841544475,0.603125,0.4412235469852903,0.9449567198753357,0.958608865737915,0.6428571428571429,4.0
0.43333333333333335,0.3668955266173863,0.4444444444444444,0.2804708869421121,0.9169312119483948,0.9462868571281433,0.631578947368421,3.75
0.423076923076923,0.37122356736744355,0.4852092352092352,0.043714614762319366,0.9390069842338562,0.9383425116539001,0.5,2.8
0.6222222222222222,0.35533146187156806,0.6388888888888888,0.3333333333333333,0.9505135416984558,0.9641885757446289,0.7333333333333333,3.4
0.6217592592592592,0.593265671792999,0.7275641025641026,0.4651009651693472,0.8797171115875244,0.9137121438980103,0.2608695652173913,2.4
0.3076784326784327,0.3994264730461714,0.4042575071986837,0.34573247346207797,0.9205359816551208,0.9201951026916504,0.2727272727272727,1.3330000000000002
0.39328155504626094,0.4151568353898723,0.42636010663692325,0.2862795485870293,0.9328575134277344,0.9349551796913147,0.5333333333333333,4.6
0.5261664261664262,0.3999405734773269,0.6066137566137565,0.22981368057270066,0.9381168484687805,0.9415527582168579,0.6896551724137931,3.8
0.5545454545454546,0.5788183554126394,0.5590909090909091,0.5707129497647884,0.930374801158905,0.9563907980918884,0.5714285714285714,4.2
0.4850678733031674,0.36255163124877304,0.5176767676767676,0.20516022283003724,0.9247678518295288,0.9386477470397949,0.5714285714285714,2.6
0.4244652406417112,0.5348541989647365,0.5483186939934345,0.36199474985518615,0.9202685952186584,0.9285714626312256,0.6470588235294118,4.4
0.8173076923076923,0.5571902382308398,0.8296875,0.5134067158918831,0.9703094959259033,0.9680861234664917,0.9333333333333333,4.2
0.7948717948717948,0.6860263047501095,0.8076923076923077,0.5445906470485176,0.9789111018180847,0.9851595163345337,0.8333333333333334,5.0
0.7467948717948718,0.5148814498551842,0.7936507936507937,0.4934020912661624,0.9578678607940674,0.9529007077217102,0.8275862068965517,5.0
1.0,0.6666666666666666,1.0,0.6666666666666666,0.99074387550354,0.9782739281654358,1.0,5.0
0.5666666666666667,0.41485102590516104,0.6333333333333333,0.30226513860999804,0.93447345495224,0.936379075050354,0.7368421052631579,3.4
0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.9346427321434021,0.9525225162506104,0.6666666666666666,5.0
